,NbDaysOff
2010-01-01,11
2010-02-01,9
2010-03-01,9
2010-04-01,10
2010-05-01,12
2010-06-01,9
2010-07-01,11
2010-08-01,9
2010-09-01,9
2010-10-01,11
2010-11-01,10
2010-12-01,9
2011-01-01,10
2011-02-01,9
2011-03-01,9
2011-04-01,11
2011-05-01,9
2011-06-01,11
2011-07-01,12
2011-08-01,10
2011-09-01,9
2011-10-01,10
2011-11-01,10
2011-12-01,10
2012-01-01,9
2012-02-01,9
2012-03-01,10
2012-04-01,10
2012-05-01,12
2012-06-01,10
2012-07-01,9
2012-08-01,10
2012-09-01,10
2012-10-01,9
2012-11-01,9
2012-12-01,11
2013-01-01,9
2013-02-01,9
2013-03-01,11
2013-04-01,9
2013-05-01,12
2013-06-01,10
2013-07-01,9
2013-08-01,11
2013-09-01,9
2013-10-01,9
2013-11-01,11
2013-12-01,10
2014-01-01,9
2014-02-01,8
2014-03-01,10
2014-04-01,10
2014-05-01,12
2014-06-01,10
2014-07-01,10
2014-08-01,12
2014-09-01,9
2014-10-01,9
2014-11-01,11
2014-12-01,10
2015-01-01,10
2015-02-01,8
2015-03-01,9
2015-04-01,10
2015-05-01,14
2015-06-01,9
2015-07-01,10
2015-08-01,10
2015-09-01,9
2015-10-01,10
2015-11-01,10
2015-12-01,10
2016-01-01,11
2016-02-01,9
2016-03-01,10
2016-04-01,10
2016-05-01,11
2016-06-01,9
2016-07-01,12
2016-08-01,10
2016-09-01,9
2016-10-01,10
2016-11-01,10
2016-12-01,10
2017-01-01,9
2017-02-01,9
2017-03-01,9
2017-04-01,11
2017-05-01,11
2017-06-01,10
2017-07-01,11
2017-08-01,10
2017-09-01,10
2017-10-01,9
2017-11-01,9
2017-12-01,12
